hashtag,day_0_retweets,day_0_followers,day_0_occurences,day_0_weekday,day_0_month,day_0_day,day_0_modehour,day_0_avghour,day_1_retweets,day_1_followers,day_1_occurences,day_1_weekday,day_1_month,day_1_day,day_1_modehour,day_1_avghour,day_2_retweets,day_2_followers,day_2_occurences,day_2_weekday,day_2_month,day_2_day,day_2_modehour,day_2_avghour,day_3_retweets,day_3_followers,day_3_occurences,day_3_weekday,day_3_month,day_3_day,day_3_modehour,day_3_avghour,day_4_retweets,day_4_followers,day_4_occurences,day_4_weekday,day_4_month,day_4_day,day_4_modehour,day_4_avghour,day_5_retweets,day_5_followers,day_5_occurences,day_5_weekday,day_5_month,day_5_day,day_5_modehour,day_5_avghour,ids
光明日報,0,0,0,0,0,0,0,0.0,0,531,2,6,10,14,0,1.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0
เรียลหญิง,24607,55320,77,5,10,13,23,22.358974358974358,25363,75362,92,6,10,14,23,22.666666666666668,20527,40986,69,0,10,15,23,22.67142857142857,25767,51002,92,1,10,16,23,22.752688172043012,32529,82049,86,2,10,17,23,22.735632183908045,34133,53229,91,3,10,18,23,22.619565217391305,92
KristPerawat,181666,54413,390,5,10,13,23,22.941176470588236,387466,88431,900,6,10,14,23,21.60377358490566,337114,168896,986,0,10,15,23,22.267477203647417,394317,249787,1179,1,10,16,23,22.53220338983051,810665,1116587,3197,2,10,17,23,22.900875547217012,219226,144127,594,3,10,18,23,22.961344537815126,1694
KCCrew,10,27952,8,5,10,13,4,5.666666666666667,2,2627,3,6,10,14,0,4.25,10,25349,7,0,10,15,17,16.75,29,28404,9,1,10,16,6,8.9,6,9924,3,2,10,17,20,15.5,2,8013,2,3,10,18,0,2.0,13
ザレイズ200万,112450,100517,546,5,10,13,1,7.1297989031078615,16866,34999,219,6,10,14,1,8.872727272727273,40689,44275,232,0,10,15,5,9.124463519313304,11023,15754,103,1,10,16,11,10.76923076923077,4368393,1110064,2819,2,10,17,8,10.139716312056738,264802,48650,191,3,10,18,3,8.057291666666666,63
Jihoon,3333722,494336,1096,5,10,13,23,21.856882406563354,1724581,541880,1895,6,10,14,23,21.16561181434599,1252866,364505,1198,0,10,15,23,21.800667222685572,751559,199284,800,1,10,16,17,19.634207240948815,1612359,1186162,2199,2,10,17,14,14.293636363636363,355085,174718,395,3,10,18,23,20.974747474747474,45
tpaysoldiers,4364,87966,236,5,10,13,10,13.10126582278481,2654,111286,162,6,10,14,7,13.159509202453988,1158,26316,87,0,10,15,18,19.15909090909091,1383,49066,97,1,10,16,14,15.316326530612244,1312,58741,99,2,10,17,18,19.72,1096,39905,88,3,10,18,21,20.15730337078652,92
スケリグ,35413,4924,37,5,10,13,0,6.473684210526316,5876,1633,8,6,10,14,12,10.333333333333334,5903,2097,11,0,10,15,7,7.583333333333333,7345,466,7,1,10,16,0,7.125,1,119,1,2,10,17,0,7.0,1,121,2,3,10,18,0,3.6666666666666665,3
茨城,9731,552309,89,5,10,13,23,20.92222222222222,28435,105372,76,6,10,14,22,21.805194805194805,100632,1863028,792,0,10,15,12,11.754098360655737,6937,142435,76,1,10,16,23,21.16883116883117,4073,265194,96,2,10,17,23,21.824742268041238,3014,194951,88,3,10,18,23,21.06741573033708,94
김혜경을_소환하라,152039,4393189,872,5,10,13,2,11.29553264604811,260630,4803280,1368,6,10,14,8,10.238860482103725,246096,4116529,1013,0,10,15,9,10.504930966469429,50200,559258,192,1,10,16,0,5.917098445595855,4851,45168,13,2,10,17,9,5.142857142857143,1487,6393,3,3,10,18,0,5.75,219
